ensembl_gene_id,logFC,logCPM,F,PValue,FDR,gene_symbol,cellranger_version,pseudobulk
ENSG00000170345,4.518359144,10.43044424,29842.59516,0,0,FOS,v3,FALSE
ENSG00000081041,4.465336446,9.360511562,38908.49577,0,0,CXCL2,v3,FALSE
ENSG00000128016,4.06513402,9.585036753,20273.81914,0,0,ZFP36,v3,FALSE
ENSG00000125740,3.828118441,10.82350531,26673.70231,0,0,FOSB,v3,FALSE
ENSG00000120129,3.679776823,9.386751729,17813.09493,0,0,DUSP1,v3,FALSE
ENSG00000162772,3.67112771,9.042513453,19633.60509,0,0,ATF3,v3,FALSE
ENSG00000169429,3.58414241,8.947053957,20607.94481,0,0,CXCL8,v3,FALSE
ENSG00000123358,3.522526121,9.133398427,19932.7021,0,0,NR4A1,v3,FALSE
ENSG00000163734,3.482903617,8.941189582,19816.84751,0,0,CXCL3,v3,FALSE
ENSG00000087074,3.371057417,9.211243124,17596.86293,0,0,PPP1R15A,v3,FALSE
ENSG00000171223,3.356283337,10.47532638,17042.07174,0,0,JUNB,v3,FALSE
ENSG00000120738,3.120757767,9.201051632,15959.35198,0,0,EGR1,v3,FALSE
ENSG00000204389,3.05153358,10.30131554,13860.63023,0,0,HSPA1A,v3,FALSE
ENSG00000204388,2.953345678,9.443331421,12288.02486,0,0,HSPA1B,v3,FALSE
ENSG00000184557,2.928195787,9.101052527,9590.059545,0,0,SOCS3,v3,FALSE
ENSG00000067082,2.873320856,9.598890283,14280.54439,0,0,KLF6,v3,FALSE
ENSG00000177606,2.85494089,10.79283754,12186.85058,0,0,JUN,v3,FALSE
ENSG00000160888,2.837216706,10.22604384,14051.95797,0,0,IER2,v3,FALSE
ENSG00000163739,2.748506578,8.995701637,11693.4899,0,0,CXCL1,v3,FALSE
ENSG00000100906,2.673850413,10.18252269,13743.57622,0,0,NFKBIA,v3,FALSE
ENSG00000173110,2.566237027,9.093577433,5057.302926,0,0,HSPA6,v3,FALSE
ENSG00000132002,2.556973113,10.14494891,9627.266029,0,0,DNAJB1,v3,FALSE
ENSG00000137331,2.477944898,9.029700752,9180.022388,0,0,IER3,v3,FALSE
ENSG00000163660,2.386514361,9.548443699,10524.71469,0,0,CCNL1,v3,FALSE
ENSG00000269028,2.301878374,9.296402739,7478.56988,0,0,MTRNR2L2,v3,FALSE
ENSG00000162783,2.296165281,8.98348652,8055.574778,0,0,IER5,v3,FALSE
ENSG00000125968,2.226369587,8.917084528,7621.733211,0,0,ID1,v3,FALSE
ENSG00000221869,2.220649505,9.223292162,7281.485542,0,0,CEBPD,v3,FALSE
ENSG00000205420,2.16993824,9.461904974,3005.964759,0,0,KRT6A,v3,FALSE
ENSG00000142871,2.160224889,9.053016217,5303.218336,0,0,CYR61,v3,FALSE
ENSG00000165507,2.157956161,8.915150256,10403.22115,0,0,DEPP1,v3,FALSE
ENSG00000189143,2.120480173,9.740277724,7471.303762,0,0,CLDN4,v3,FALSE
ENSG00000125347,2.115248889,8.752470332,7654.796178,0,0,IRF1,v3,FALSE
ENSG00000158050,2.067783859,8.780252492,6362.572858,0,0,DUSP2,v3,FALSE
ENSG00000159388,2.066079675,8.757543076,6993.078119,0,0,BTG2,v3,FALSE
ENSG00000011422,2.062584402,8.900084285,4920.451933,0,0,PLAUR,v3,FALSE
ENSG00000185022,2.038870932,8.719653814,7802.997058,0,0,MAFF,v3,FALSE
ENSG00000136826,2.018332441,8.783262223,6841.729271,0,0,KLF4,v3,FALSE
ENSG00000181649,1.967423586,8.888257702,5384.362517,0,0,PHLDA2,v3,FALSE
ENSG00000118503,1.873930014,8.671133064,7025.984042,0,0,TNFAIP3,v3,FALSE
ENSG00000155090,1.860467486,9.036985315,6208.007264,0,0,KLF10,v3,FALSE
ENSG00000111912,1.853271845,8.919069027,7152.652804,0,0,NCOA7,v3,FALSE
ENSG00000163435,1.842236567,9.317679462,5735.104772,0,0,ELF3,v3,FALSE
ENSG00000114315,1.828467631,9.533184273,5329.76951,0,0,HES1,v3,FALSE
ENSG00000178381,1.79639092,8.907245967,4231.409396,0,0,ZFAND2A,v3,FALSE
ENSG00000255823,1.786192764,9.819931868,5614.152407,0,0,MTRNR2L8,v3,FALSE
ENSG00000006652,1.778660937,8.978599553,4887.659728,0,0,IFRD1,v3,FALSE
ENSG00000130164,1.77336356,8.789471477,5085.536839,0,0,LDLR,v3,FALSE
ENSG00000136997,1.757801323,9.233266812,5282.346502,0,0,MYC,v3,FALSE
ENSG00000143384,1.754114441,9.000945927,5400.393674,0,0,MCL1,v3,FALSE
ENSG00000153234,1.751476842,8.684830131,6931.163448,0,0,NR4A2,v3,FALSE
ENSG00000128422,1.734310494,10.25065549,3250.478964,0,0,KRT17,v3,FALSE
ENSG00000143878,1.717615615,8.786706312,5105.775138,0,0,RHOB,v3,FALSE
ENSG00000130522,1.710341345,8.836101455,4882.790968,0,0,JUND,v3,FALSE
ENSG00000141682,1.689312783,8.778681977,4295.888809,0,0,PMAIP1,v3,FALSE
ENSG00000144802,1.671980488,8.682786279,5354.70454,0,0,NFKBIZ,v3,FALSE
ENSG00000163874,1.627858383,8.63963174,6344.60063,0,0,ZC3H12A,v3,FALSE
ENSG00000078401,1.627729471,8.620003651,6517.916717,0,0,EDN1,v3,FALSE
ENSG00000197019,1.627615592,8.826527059,4476.155304,0,0,SERTAD1,v3,FALSE
ENSG00000127528,1.592429288,8.686032059,5158.852274,0,0,KLF2,v3,FALSE
ENSG00000173334,1.577906894,8.668265292,5317.097952,0,0,TRIB1,v3,FALSE
ENSG00000023445,1.5585775,8.639153119,6371.118463,0,0,BIRC3,v3,FALSE
ENSG00000176907,1.522784998,8.731648705,4102.731457,0,0,TCIM,v3,FALSE
ENSG00000125398,1.521839266,9.081045983,3844.847939,0,0,SOX9,v3,FALSE
ENSG00000256045,1.512163133,9.058297469,3598.662999,0,0,MTRNR2L10,v3,FALSE
ENSG00000090339,1.511511964,8.635994529,5783.961206,0,0,ICAM1,v3,FALSE
ENSG00000099860,1.492381656,8.82109581,3174.22068,0,0,GADD45B,v3,FALSE
ENSG00000124762,1.469821246,8.706811754,4011.42146,0,0,CDKN1A,v3,FALSE
ENSG00000120694,1.431460426,8.99114133,2968.936865,0,0,HSPH1,v3,FALSE
ENSG00000106211,1.421975519,10.72651929,4562.336142,0,0,HSPB1,v3,FALSE
ENSG00000134531,1.4175583,8.901641273,2984.142873,0,0,EMP1,v3,FALSE
ENSG00000108551,1.394254771,8.658852828,4295.789629,0,0,RASD1,v3,FALSE
ENSG00000086061,1.38959955,9.336533012,3492.644387,0,0,DNAJA1,v3,FALSE
ENSG00000130066,1.359634465,10.8023749,4083.424428,0,0,SAT1,v3,FALSE
ENSG00000144655,1.327132615,8.599563182,5822.174078,0,0,CSRNP1,v3,FALSE
ENSG00000104140,1.325114865,8.824407269,3238.600943,0,0,RHOV,v3,FALSE
ENSG00000146278,1.295147221,9.21888777,3313.588843,0,0,PNRC1,v3,FALSE
ENSG00000137193,1.292661156,8.695870603,3098.237464,0,0,PIM1,v3,FALSE
ENSG00000135046,1.290391309,10.01673998,3005.132724,0,0,ANXA1,v3,FALSE
ENSG00000169908,1.285312908,10.28267166,3941.752415,0,0,TM4SF1,v3,FALSE
ENSG00000118523,1.278363753,9.169925952,1601.671552,0,0,CTGF,v3,FALSE
ENSG00000108106,1.272217245,9.027404199,2398.645795,0,0,UBE2S,v3,FALSE
ENSG00000140403,1.268083663,8.68306365,3118.043081,0,0,DNAJA4,v3,FALSE
ENSG00000165215,1.261535124,9.234720969,7314.103431,0,0,CLDN3,v3,FALSE
ENSG00000013588,1.253347056,8.659246902,3275.329645,0,0,GPRC5A,v3,FALSE
